id,kind,text,repr,byte_len,char_len,byte_hex,left_id,right_id,flags,categories,decode_ok,decode_error
0,special,<pad>,'<pad>',0,5,,,,,special,True,
1,special,<unk>,'<unk>',0,5,,,,,special,True,
2,special,<bos>,'<bos>',0,5,,,,,special,True,
3,special,<eos>,'<eos>',0,5,,,,,special,True,
4,byte,\u0000,'\x00',1,1,00,,,control_char,control,True,
5,byte,\u0001,'\x01',1,1,01,,,control_char,control,True,
6,byte,\u0002,'\x02',1,1,02,,,control_char,control,True,
7,byte,\u0003,'\x03',1,1,03,,,control_char,control,True,
8,byte,\u0004,'\x04',1,1,04,,,control_char,control,True,
9,byte,\u0005,'\x05',1,1,05,,,control_char,control,True,
10,byte,\u0006,'\x06',1,1,06,,,control_char,control,True,
11,byte,\u0007,'\x07',1,1,07,,,control_char,control,True,
12,byte,\b,'\x08',1,1,08,,,control_char,control,True,
13,byte,\t,'\t',1,1,09,,,contains_whitespace;control_char,control;whitespace,True,
14,byte,\n,'\n',1,1,0a,,,contains_whitespace;control_char,control;whitespace,True,
15,byte,\u000b,'\x0b',1,1,0b,,,contains_whitespace;control_char,control;whitespace,True,
16,byte,\f,'\x0c',1,1,0c,,,contains_whitespace;control_char,control;whitespace,True,
17,byte,\r,'\r',1,1,0d,,,contains_whitespace;control_char,control;whitespace,True,
18,byte,\u000e,'\x0e',1,1,0e,,,control_char,control,True,
19,byte,\u000f,'\x0f',1,1,0f,,,control_char,control,True,
20,byte,\u0010,'\x10',1,1,10,,,control_char,control,True,
21,byte,\u0011,'\x11',1,1,11,,,control_char,control,True,
22,byte,\u0012,'\x12',1,1,12,,,control_char,control,True,
23,byte,\u0013,'\x13',1,1,13,,,control_char,control,True,
24,byte,\u0014,'\x14',1,1,14,,,control_char,control,True,
25,byte,\u0015,'\x15',1,1,15,,,control_char,control,True,
26,byte,\u0016,'\x16',1,1,16,,,control_char,control,True,
27,byte,\u0017,'\x17',1,1,17,,,control_char,control,True,
28,byte,\u0018,'\x18',1,1,18,,,control_char,control,True,
29,byte,\u0019,'\x19',1,1,19,,,control_char,control,True,
30,byte,\u001a,'\x1a',1,1,1a,,,control_char,control,True,
31,byte,\u001b,'\x1b',1,1,1b,,,control_char,control,True,
32,byte,\u001c,'\x1c',1,1,1c,,,contains_whitespace;control_char,control;whitespace,True,
33,byte,\u001d,'\x1d',1,1,1d,,,contains_whitespace;control_char,control;whitespace,True,
34,byte,\u001e,'\x1e',1,1,1e,,,contains_whitespace;control_char,control;whitespace,True,
35,byte,\u001f,'\x1f',1,1,1f,,,contains_whitespace;control_char,control;whitespace,True,
36,byte, ,' ',1,1,20,,,contains_whitespace,whitespace,True,
37,byte,!,'!',1,1,21,,,,punct_symbol,True,
38,byte,"\""","'""'",1,1,22,,,,punct_symbol,True,
39,byte,#,'#',1,1,23,,,,punct_symbol,True,
40,byte,$,'$',1,1,24,,,,punct_symbol,True,
41,byte,%,'%',1,1,25,,,,punct_symbol,True,
42,byte,&,'&',1,1,26,,,,punct_symbol,True,
43,byte,',"""'""",1,1,27,,,,punct_symbol,True,
44,byte,(,'(',1,1,28,,,,punct_symbol,True,
45,byte,),')',1,1,29,,,,punct_symbol,True,
46,byte,*,'*',1,1,2a,,,,punct_symbol,True,
47,byte,+,'+',1,1,2b,,,,punct_symbol,True,
48,byte,",","','",1,1,2c,,,,punct_symbol,True,
49,byte,-,'-',1,1,2d,,,,punct_symbol,True,
50,byte,.,'.',1,1,2e,,,,punct_symbol,True,
51,byte,/,'/',1,1,2f,,,,punct_symbol,True,
52,byte,0,'0',1,1,30,,,,digit,True,
53,byte,1,'1',1,1,31,,,,digit,True,
54,byte,2,'2',1,1,32,,,,digit,True,
55,byte,3,'3',1,1,33,,,,digit,True,
56,byte,4,'4',1,1,34,,,,digit,True,
57,byte,5,'5',1,1,35,,,,digit,True,
58,byte,6,'6',1,1,36,,,,digit,True,
59,byte,7,'7',1,1,37,,,,digit,True,
60,byte,8,'8',1,1,38,,,,digit,True,
61,byte,9,'9',1,1,39,,,,digit,True,
62,byte,:,':',1,1,3a,,,,punct_symbol,True,
63,byte,;,';',1,1,3b,,,,punct_symbol,True,
64,byte,<,'<',1,1,3c,,,,punct_symbol,True,
65,byte,=,'=',1,1,3d,,,,punct_symbol,True,
66,byte,>,'>',1,1,3e,,,,punct_symbol,True,
67,byte,?,'?',1,1,3f,,,,punct_symbol,True,
68,byte,@,'@',1,1,40,,,,punct_symbol,True,
69,byte,A,'A',1,1,41,,,,english,True,
70,byte,B,'B',1,1,42,,,,english,True,
71,byte,C,'C',1,1,43,,,,english,True,
72,byte,D,'D',1,1,44,,,,english,True,
73,byte,E,'E',1,1,45,,,,english,True,
74,byte,F,'F',1,1,46,,,,english,True,
75,byte,G,'G',1,1,47,,,,english,True,
76,byte,H,'H',1,1,48,,,,english,True,
77,byte,I,'I',1,1,49,,,,english,True,
78,byte,J,'J',1,1,4a,,,,english,True,
79,byte,K,'K',1,1,4b,,,,english,True,
80,byte,L,'L',1,1,4c,,,,english,True,
81,byte,M,'M',1,1,4d,,,,english,True,
82,byte,N,'N',1,1,4e,,,,english,True,
83,byte,O,'O',1,1,4f,,,,english,True,
84,byte,P,'P',1,1,50,,,,english,True,
85,byte,Q,'Q',1,1,51,,,,english,True,
86,byte,R,'R',1,1,52,,,,english,True,
87,byte,S,'S',1,1,53,,,,english,True,
88,byte,T,'T',1,1,54,,,,english,True,
89,byte,U,'U',1,1,55,,,,english,True,
90,byte,V,'V',1,1,56,,,,english,True,
91,byte,W,'W',1,1,57,,,,english,True,
92,byte,X,'X',1,1,58,,,,english,True,
93,byte,Y,'Y',1,1,59,,,,english,True,
94,byte,Z,'Z',1,1,5a,,,,english,True,
95,byte,[,'[',1,1,5b,,,,punct_symbol,True,
96,byte,\\,'\\',1,1,5c,,,,punct_symbol,True,
97,byte,],']',1,1,5d,,,,punct_symbol,True,
98,byte,^,'^',1,1,5e,,,,punct_symbol,True,
99,byte,_,'_',1,1,5f,,,,punct_symbol,True,
100,byte,`,'`',1,1,60,,,,punct_symbol,True,
101,byte,a,'a',1,1,61,,,,english,True,
102,byte,b,'b',1,1,62,,,,english,True,
103,byte,c,'c',1,1,63,,,,english,True,
104,byte,d,'d',1,1,64,,,,english,True,
105,byte,e,'e',1,1,65,,,,english,True,
106,byte,f,'f',1,1,66,,,,english,True,
107,byte,g,'g',1,1,67,,,,english,True,
108,byte,h,'h',1,1,68,,,,english,True,
109,byte,i,'i',1,1,69,,,,english,True,
110,byte,j,'j',1,1,6a,,,,english,True,
111,byte,k,'k',1,1,6b,,,,english,True,
112,byte,l,'l',1,1,6c,,,,english,True,
113,byte,m,'m',1,1,6d,,,,english,True,
114,byte,n,'n',1,1,6e,,,,english,True,
115,byte,o,'o',1,1,6f,,,,english,True,
116,byte,p,'p',1,1,70,,,,english,True,
117,byte,q,'q',1,1,71,,,,english,True,
118,byte,r,'r',1,1,72,,,,english,True,
119,byte,s,'s',1,1,73,,,,english,True,
120,byte,t,'t',1,1,74,,,,english,True,
121,byte,u,'u',1,1,75,,,,english,True,
122,byte,v,'v',1,1,76,,,,english,True,
123,byte,w,'w',1,1,77,,,,english,True,
124,byte,x,'x',1,1,78,,,,english,True,
125,byte,y,'y',1,1,79,,,,english,True,
126,byte,z,'z',1,1,7a,,,,english,True,
127,byte,{,'{',1,1,7b,,,,punct_symbol,True,
128,byte,|,'|',1,1,7c,,,,punct_symbol,True,
129,byte,},'}',1,1,7d,,,,punct_symbol,True,
130,byte,~,'~',1,1,7e,,,,punct_symbol,True,
131,byte,,'\x7f',1,1,7f,,,control_char,control,True,
132,byte,,b'\x80',1,0,80,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x80 in position 0: invalid start byte
133,byte,,b'\x81',1,0,81,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x81 in position 0: invalid start byte
134,byte,,b'\x82',1,0,82,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x82 in position 0: invalid start byte
135,byte,,b'\x83',1,0,83,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x83 in position 0: invalid start byte
136,byte,,b'\x84',1,0,84,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x84 in position 0: invalid start byte
137,byte,,b'\x85',1,0,85,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x85 in position 0: invalid start byte
138,byte,,b'\x86',1,0,86,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x86 in position 0: invalid start byte
139,byte,,b'\x87',1,0,87,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x87 in position 0: invalid start byte
140,byte,,b'\x88',1,0,88,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x88 in position 0: invalid start byte
141,byte,,b'\x89',1,0,89,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x89 in position 0: invalid start byte
142,byte,,b'\x8a',1,0,8a,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8a in position 0: invalid start byte
143,byte,,b'\x8b',1,0,8b,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8b in position 0: invalid start byte
144,byte,,b'\x8c',1,0,8c,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8c in position 0: invalid start byte
145,byte,,b'\x8d',1,0,8d,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8d in position 0: invalid start byte
146,byte,,b'\x8e',1,0,8e,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8e in position 0: invalid start byte
147,byte,,b'\x8f',1,0,8f,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x8f in position 0: invalid start byte
148,byte,,b'\x90',1,0,90,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x90 in position 0: invalid start byte
149,byte,,b'\x91',1,0,91,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x91 in position 0: invalid start byte
150,byte,,b'\x92',1,0,92,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x92 in position 0: invalid start byte
151,byte,,b'\x93',1,0,93,,,invalid_utf8,invalid_utf8,False,'utf-8' codec can't decode byte 0x93 in position 0: invalid start byte
